Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.93376	 0.95110	 1.01470
       2	 0.97674	 0.93505	 0.95270	 1.39652
       3	 0.99784	 0.67646	 0.70760	 1.87170
       4	 0.98982	 0.75518	 1.07840	 1.25332
       5	 0.99953	 0.81683	 0.84550	 1.16333
       6	 0.65618	 0.56500	 0.56500	 1.60585
       7	 0.99343	 0.46090	 0.46090	 2.26452
       8	 0.95717	 0.83855	 0.87810	 1.10176
       9	 0.95819	 0.45299	 2.04070	 1.96486
      10	 0.95624	 0.73482	 1.24090	 2.56860
      11	 0.87867	 0.56630	 0.56630	 2.15917
     All	 0.98310	 0.89012	 1.00000	 1.72956
